Page,2015-07-01,2015-07-02,2015-07-03,2015-07-04,2015-07-05,2015-07-06,2015-07-07,2015-07-08,2015-07-09,2015-07-10,2015-07-11,2015-07-12,2015-07-13,2015-07-14,2015-07-15,2015-07-16,2015-07-17,2015-07-18,2015-07-19,2015-07-20,2015-07-21,2015-07-22,2015-07-23,2015-07-24,2015-07-25,2015-07-26,2015-07-27,2015-07-28,2015-07-29,2015-07-30,2015-07-31,2015-08-01,2015-08-02,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-07,2015-08-08,2015-08-09,2015-08-10,2015-08-11,2015-08-12,2015-08-13,2015-08-14,2015-08-15,2015-08-16,2015-08-17,2015-08-18,2015-08-19,2015-08-20,2015-08-21,2015-08-22,2015-08-23,2015-08-24,2015-08-25,2015-08-26,2015-08-27,2015-08-28,2015-08-29,2015-08-30,2015-08-31,2015-09-01,2015-09-02,2015-09-03,2015-09-04,2015-09-05,2015-09-06,2015-09-07,2015-09-08,2015-09-09,2015-09-10,2015-09-11,2015-09-12,2015-09-13,2015-09-14,2015-09-15,2015-09-16,2015-09-17,2015-09-18,2015-09-19,2015-09-20,2015-09-21,2015-09-22,2015-09-23,2015-09-24,2015-09-25,2015-09-26,2015-09-27,2015-09-28,2015-09-29,2015-09-30,2015-10-01,2015-10-02,2015-10-03,2015-10-04,2015-10-05,2015-10-06,2015-10-07,2015-10-08,2015-10-09,2015-10-10,2015-10-11,2015-10-12,2015-10-13,2015-10-14,2015-10-15,2015-10-16,2015-10-17,2015-10-18,2015-10-19,2015-10-20,2015-10-21,2015-10-22,2015-10-23,2015-10-24,2015-10-25,2015-10-26,2015-10-27,2015-10-28,2015-10-29,2015-10-30,2015-10-31,2015-11-01,2015-11-02,2015-11-03,2015-11-04,2015-11-05,2015-11-06,2015-11-07,2015-11-08,2015-11-09,2015-11-10,2015-11-11,2015-11-12,2015-11-13,2015-11-14,2015-11-15,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-21,2015-11-22,2015-11-23,2015-11-24,2015-11-25,2015-11-26,2015-11-27,2015-11-28,2015-11-29,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-05,2015-12-06,2015-12-07,2015-12-08,2015-12-09,2015-12-10,2015-12-11,2015-12-12,2015-12-13,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-19,2015-12-20,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-25,2015-12-26,2015-12-27,2015-12-28,2015-12-29,2015-12-30,2015-12-31,2016-01-01,2016-01-02,2016-01-03,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-09,2016-01-10,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-16,2016-01-17,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10
倚天屠龙记_zh.wikipedia.org_all-access_spider,5,11,44,64,34,9,7,7,30,84,35,70,31,11,5,8,81,8,8,9,7,7,5,3,7,4,3,8,11,5,7,9,19,4,9,4,4,7,5,5,1,12,14,15,4,12,13,7,21,3,6,4,4,33,51,2,4,12,8,5,5,6,9,7,8,7,6,12,11,5,6,4,5,7,5,6,2,21,2,8,7,6,6,5,7,5,4,8,8,6,17,1,5,9,3,9,9,7,9,12,3,8,2,3,8,6,9,7,1,3,5,3,19,20,22,29,21,31,21,10,6,4,6,5,7,8,6,10,7,8,7,3,4,8,9,11,6,5,7,6,8,19,13,7,8,5,6,7,11,4,10,3,8,7,3,8,10,9,9,7,9,3,3,11,8,6,7,7,11,7,12,9,6,5,6,13,5,6,9,2,8,12,14,12,8,9,9,11,7,9,6,12,10,8,10,10,10,11,9,5,17,6,6,16,5,11,10,6,14,16,9,12,8,12,12,6,11,14,4,1,4,2,3,4,16,9,5,8,15,6,6,9,16,14,8,15,12,14,18,9,14,11,11,15,10,67,7,14,9,14,14,6,11,7
謝維洲_zh.wikipedia.org_all-access_spider,17,6,7,2,1,2,1,6,2,13,20,3,2,2,4,5,1,3,3,4,3,12,13,3,7,5,2,0,3,2,3,2,3,2,2,26,5,2,1,4,2,3,4,5,4,1,4,6,1,1,2,2,5,2,5,16,33,32,30,28,13,6,10,10,7,6,2,4,7,4,6,5,8,2,2,5,3,16,2,1,7,5,1,3,2,1,3,27,13,21,3,3,24,23,13,12,20,2,0,22,21,3,1,12,5,3,1,4,2,4,3,3,1,5,5,3,3,2,1,2,5,2,5,3,4,1,2,3,3,0,2,4,4,1,1,6,2,2,4,1,0,4,0,2,4,0,4,3,3,1,6,6,1,2,3,0,3,9,1,3,3,6,4,3,5,3,4,1,5,5,5,3,1,3,4,2,2,3,4,2,4,5,1,9,6,2,5,4,3,4,6,10,5,3,1,2,5,10,4,10,2,8,2,4,3,8,15,3,7,4,7,12,4,5,5,2,9,3,19,3,9,2,2,10,4,16,2,1,3,3,8,5,4,3,7,4,3,3,4,5,5,5,4,9,3,4,3,4,1,6,5,2,2,5
美國革命_zh.wikipedia.org_all-access_spider,3,24,18,12,14,9,3,18,17,65,74,10,6,10,5,1,7,4,8,13,2,10,13,11,7,4,8,3,10,5,3,6,9,3,7,9,7,4,5,3,5,0,38,3,4,6,8,3,10,9,7,5,3,9,7,6,4,6,6,8,11,6,7,6,9,8,2,8,7,6,8,7,4,8,13,12,10,4,5,8,22,4,4,19,7,8,5,14,12,10,10,14,3,10,14,6,9,4,10,5,5,6,3,11,3,7,10,9,7,4,8,1,5,8,9,6,2,3,11,4,16,4,8,9,10,9,3,7,18,9,6,7,6,8,7,4,9,19,4,4,4,9,7,6,10,6,8,11,12,5,8,10,4,5,4,10,5,9,9,4,10,3,5,14,23,24,19,7,8,15,7,9,17,9,8,8,10,11,6,16,9,10,5,5,20,6,6,3,8,11,21,9,27,12,6,6,12,5,8,6,23,11,9,14,8,6,7,8,13,8,4,20,10,8,8,3,15,14,23,3,2,10,9,6,7,5,7,10,10,5,4,10,12,59,8,10,13,4,12,20,26,17,18,17,17,15,29,23,25,14,14,17,15,10
白雅燦_zh.wikipedia.org_all-access_spider,1,1,0,0,1,2,1,0,0,8,0,2,1,0,8,1,3,4,1,1,1,4,2,0,1,0,3,5,1,0,0,0,2,0,0,0,1,0,0,4,4,2,3,0,1,4,3,4,2,3,0,3,2,1,7,0,3,2,1,1,3,0,0,1,3,5,5,1,0,4,1,5,1,9,3,4,0,2,1,0,0,1,2,1,1,1,21,7,3,2,2,4,1,1,0,3,0,2,1,,2,0,2,4,2,0,3,4,3,1,1,3,,1,1,0,2,3,0,1,1,1,4,0,0,,7,1,,2,2,2,0,2,4,0,0,1,1,1,1,3,1,3,1,0,2,1,0,2,11,5,0,1,1,1,0,0,4,5,0,3,0,1,1,0,2,1,2,1,0,2,0,1,0,1,3,2,1,1,1,1,0,1,1,4,2,3,0,0,1,2,3,5,0,1,1,1,7,4,1,10,4,1,2,1,1,0,3,1,3,2,1,4,5,5,2,3,1,2,3,2,3,1,2,2,1,5,0,,4,4,3,2,1283,1107,75,53,12,5,6,8,26,8,12,2,4,7,5,4,1,1,2,1
樹大招風_zh.wikipedia.org_all-access_spider,0,0,2,3,17,2,12,5,12,4,1,2,1,1,8,1,3,1,4,0,1,7,4,2,0,1,2,1,2,0,0,0,0,3,1,2,2,3,0,6,1,0,0,2,4,1,0,0,0,3,1,1,0,2,0,1,0,3,0,1,0,2,3,3,1,1,2,5,7,2,5,3,1,4,3,2,1,1,1,2,3,1,2,1,1,1,2,1,1,2,3,3,1,1,0,3,1,3,1,3,2,1,1,3,5,7,2,1,2,3,6,2,2,2,2,1,1,36,2,2,2,1,2,1,4,3,1,3,1,1,2,2,3,0,3,0,1,3,0,0,2,1,2,3,1,0,1,0,6,3,11,4,1,3,2,4,3,4,1,4,1,2,2,2,2,16,2,3,2,1,3,3,3,1,1,2,1,1,1,4,4,1,4,1,1,2,2,1,3,3,10,3,2,3,2,4,5,5,1,0,6,2,3,6,2,3,2,2,9,4,6,2,4,3,5,5,35,7,6,6,5,4,3,8,10,5,2,6,3,4,14,7,7,5,2,7,6,4,22,3,2,3,12,9,3,14,2,5,5,8,7,4,3,1
傅達仁_zh.wikipedia.org_all-access_spider,1,1,6,8,4,2,0,1,5,3,2,3,5,14,5,9,3,5,7,4,3,6,4,2,5,2,3,2,1,2,1,1,6,3,2,8,4,4,5,13,3,1,5,1,5,0,4,3,9,0,0,6,3,48,63,10,6,5,4,3,9,3,11,10,6,3,3,7,4,2,2,1,4,5,2,9,2,5,2,8,4,4,8,7,4,8,6,8,6,2,3,1,3,3,1,2,4,6,4,4,5,5,3,5,4,5,7,7,0,5,5,2,3,2,0,14,1,5,4,0,3,3,12,3,5,7,4,3,2,3,2,4,5,9,2,1,2,2,4,3,3,4,2,2,0,7,1,5,2,4,4,9,1,4,0,1,2,3,11,3,3,2,3,5,3,12,2,3,11,1,4,3,51,4,4,4,3,5,3,20,3,1,3,7,5,3,6,12,1,0,6,3,5,6,6,4,5,9,11,4,4,6,1,6,3,1,13,8,3,2,1,5,8,2,1,13,12,6,5,3,10,3,4,8,10,4,4,8,11,4,6,9,3,5,12,9,7,16,11,5,8,3,4,5,9,8,14,3,2,5,16,3,9,1
王子涵_zh.wikipedia.org_all-access_spider,20,1,1,3,3,2,17,18,50,27,14,7,1,7,0,0,1,0,2,1,2,6,4,4,5,0,0,2,1,3,1,1,2,2,3,4,1,2,1,1,4,0,3,4,2,8,3,2,3,1,2,3,2,1,3,2,5,1,2,2,1,2,5,2,1,3,1,2,9,3,1,2,6,2,1,5,2,9,1,2,0,2,1,4,1,3,4,4,4,2,9,3,3,1,0,3,0,3,2,3,1,3,5,7,0,2,5,6,3,3,3,3,8,2,2,6,2,2,4,3,2,2,5,15,4,2,2,3,4,2,4,3,0,1,3,1,3,1,4,6,5,5,6,2,1,9,2,1,5,2,7,1,2,8,6,2,4,2,3,3,0,4,3,2,2,4,3,4,5,6,4,2,2,1,4,0,3,4,5,3,3,2,2,2,3,6,1,1,5,2,3,2,2,9,2,4,11,7,3,6,4,3,3,3,7,3,2,3,5,12,7,10,4,6,8,5,6,40,2,8,10,10,3,12,5,9,1,1,1,0,5,2,4,2,4,1,1,2,3,2,0,4,8,3,11,5,0,2,7,5,4,2,2,21
張善為_zh.wikipedia.org_all-access_spider,1,2,8,7,16,6,0,4,7,11,16,14,9,12,10,3,1,11,35,6,4,8,9,4,4,4,8,1,4,8,1,2,3,2,5,5,1,7,12,1,3,13,7,5,13,5,3,7,4,2,4,4,4,3,10,3,2,4,6,4,6,6,3,6,6,6,5,3,7,7,2,3,5,3,2,4,10,4,4,7,7,6,4,7,7,2,4,9,7,0,4,4,6,1,3,6,3,4,1,5,2,7,1,2,100,1,3,7,3,5,5,8,13,2,5,3,5,2,6,3,2,3,7,0,5,6,6,2,2,2,7,2,9,3,6,5,3,7,6,1,5,3,3,4,6,4,4,3,5,4,6,3,3,8,4,3,9,5,4,10,4,2,6,10,5,4,4,5,4,2,9,5,4,9,9,7,3,9,4,6,6,5,11,7,2,3,9,6,5,7,8,3,4,8,29,35,10,9,6,5,18,4,7,11,3,7,9,4,7,6,8,12,12,6,9,7,16,15,6,4,10,6,2,4,13,6,5,8,3,5,8,6,8,11,6,9,4,2,7,6,7,11,16,12,9,9,10,7,8,13,11,4,9,9
2015年華潔洗滌罷工事件_zh.wikipedia.org_all-access_spider,0,0,1,0,0,,0,1,1,0,0,,0,0,2,0,0,0,,,4,7,3,1,1,5,2,1,2,0,,2,2,,3,1,0,1,3,2,1,1,1,2,0,1,1,2,2,0,,1,3,1,1,0,1,0,1,4,2,4,0,2,3,2,1,0,3,6,1,1,5,3,1,4,2,3,2,,1,1,2,1,3,0,1,4,1,2,3,1,1,1,3,,1,1,2,2,3,0,0,0,1,0,1,4,3,,2,1,,0,,3,1,1,2,0,1,1,3,0,2,0,0,0,5,1,1,1,0,2,0,0,,1,4,3,1,2,6,1,0,0,0,0,2,2,2,4,4,1,1,2,1,0,5,3,2,1,3,1,3,2,1,1,,1,4,3,1,4,0,1,0,2,0,2,4,1,5,4,2,1,0,1,0,1,2,3,1,2,7,6,5,3,2,1,5,1,7,4,3,2,4,3,1,1,2,4,4,2,4,1,4,0,0,4,1,3,1,1,2,2,1,1,7,2,1,7,3,2,3,5,4,2,3,1,4,3,1,5,1,2,1,5,2,3,4,0,3,
金惠秀_zh.wikipedia.org_all-access_spider,10,2,17,25,19,4,6,1,15,12,2,19,20,16,4,9,22,9,3,4,7,6,2,7,3,4,3,2,6,3,6,3,2,7,3,3,5,5,3,3,6,8,13,3,8,3,3,10,9,4,2,7,5,5,6,5,4,4,11,10,4,6,5,8,5,4,4,2,14,4,4,5,0,2,6,3,6,3,8,2,2,6,24,8,3,6,4,7,5,6,5,6,4,4,2,2,6,6,8,2,4,3,8,6,13,4,7,4,3,5,1,4,1,5,1,2,8,4,3,6,3,3,5,2,4,4,6,1,3,9,9,1,3,2,4,9,1,5,6,1,4,3,5,8,6,8,7,7,6,2,6,3,3,13,2,5,17,6,4,5,6,4,8,5,9,7,5,2,5,8,6,5,3,2,10,8,5,11,8,3,4,0,6,4,3,4,6,6,8,5,1,4,2,15,5,11,1,4,9,0,10,5,9,5,6,6,3,4,10,1,13,7,2,2,5,4,9,11,9,4,10,9,5,5,10,6,4,3,5,4,5,8,13,8,8,10,4,4,4,18,11,8,10,6,5,6,10,15,7,2,11,3,4,5
张伦硕_zh.wikipedia.org_all-access_spider,5,9,3,2,5,7,5,5,5,14,19,8,4,10,5,8,4,4,1,5,10,8,4,1,4,4,2,7,13,4,5,3,0,13,6,1,5,6,3,16,46,11,7,4,4,11,1,7,6,2,0,4,2,2,7,1,0,11,13,5,7,16,5,8,6,3,11,4,3,6,4,5,5,2,3,3,3,7,3,2,3,4,18,6,7,3,8,7,7,17,2,3,2,5,1,3,6,7,1,3,6,3,2,5,3,9,6,8,2,9,3,9,7,1,8,4,2,0,5,2,2,8,4,6,4,4,4,5,1,7,2,0,0,4,3,3,2,6,9,2,4,1,2,4,6,5,5,2,1,5,6,0,3,2,4,7,5,2,6,13,2,2,9,3,6,9,3,3,2,2,2,5,6,9,5,3,1,4,6,2,6,4,3,6,4,8,5,2,8,9,5,1,6,4,2,7,15,4,1,5,7,5,3,2,9,4,6,3,4,7,5,5,5,4,5,1,7,47,10,7,3,4,5,7,9,5,4,3,4,10,7,4,53,6,5,4,6,2,4,5,4,2,14,0,8,11,8,5,16,7,6,10,4,5
乔治·迈克尔_zh.wikipedia.org_all-access_spider,0,7,6,10,3,4,3,12,12,1,3,2,7,13,5,5,6,11,10,5,4,6,10,3,12,1,5,4,4,1,2,4,4,6,9,4,6,4,0,8,4,2,14,3,6,4,2,2,5,3,3,1,5,3,2,7,3,1,8,2,4,7,4,6,4,5,5,5,8,3,3,2,6,6,3,4,5,6,4,8,4,3,3,5,4,7,3,9,7,7,4,5,1,3,3,3,0,6,6,3,6,10,1,4,7,4,9,2,7,4,3,2,7,4,6,5,10,7,5,5,5,5,6,3,2,7,2,2,7,6,51,5,3,3,5,10,4,6,1,7,2,7,6,3,14,12,7,6,3,5,7,8,5,4,10,5,6,2,3,10,6,4,9,4,10,6,8,4,11,6,5,5,7,5,11,5,4,8,3,1,4,2,5,7,5,2,6,12,5,3,8,5,6,10,8,9,8,13,15,4,5,9,9,2,11,16,9,4,8,5,5,6,13,6,6,10,8,14,2,5,6,4,11,7,6,5,3,7,5,6,6,9,16,10,5,7,16,7,12,8,9,15,12,19,2,13,8,10,11,7,17,14,19,7
南海_zh.wikipedia.org_all-access_spider,6,15,26,19,41,3,14,21,13,22,16,19,10,17,17,38,63,23,39,22,15,22,21,12,13,15,7,15,22,7,9,9,8,8,20,22,14,6,10,18,17,9,13,13,12,15,16,11,11,14,19,13,20,14,15,17,9,15,46,11,16,10,8,17,11,10,14,16,13,11,16,21,12,9,10,34,5,21,32,17,21,16,15,18,18,15,12,25,28,15,18,19,10,16,36,13,27,16,19,17,23,19,15,41,13,20,23,18,19,27,30,15,19,22,22,31,18,28,31,73,32,25,35,18,52,24,23,16,28,39,22,32,24,25,12,33,28,24,33,13,16,27,18,17,14,30,30,20,22,21,16,15,14,25,23,29,28,18,32,21,10,14,22,24,28,26,29,25,29,27,20,28,23,27,23,22,15,17,40,19,10,11,16,18,25,31,26,33,33,34,31,14,23,28,23,50,25,31,17,10,19,22,25,19,22,27,22,18,15,29,25,37,21,17,23,22,31,17,27,11,14,15,9,11,14,16,17,17,11,16,21,28,29,14,27,52,22,31,34,53,35,153,27,28,105,56,102,35,33,38,39,16,32,14
胡國興_zh.wikipedia.org_all-access_spider,3,0,3,0,1,1,2,2,3,1,1,2,1,5,1,1,3,2,3,6,1,6,5,2,1,3,0,1,1,3,3,3,3,1,3,1,1,2,0,0,0,1,1,1,3,2,3,6,3,3,0,2,3,,1,2,2,4,0,1,3,0,1,0,1,2,1,0,2,0,2,1,1,6,5,3,1,1,0,2,1,2,0,0,5,0,1,2,1,14,2,0,1,3,2,3,5,2,1,0,2,12,2,2,0,1,4,1,0,5,1,2,1,0,6,4,5,1,1,1,1,3,1,1,0,1,4,1,1,1,1,0,13,2,0,1,4,0,0,3,2,2,1,0,1,4,1,9,2,1,2,1,2,0,2,4,0,0,2,4,1,2,1,0,2,4,3,1,5,2,3,1,2,1,0,0,4,4,3,2,0,0,5,1,1,2,4,4,1,1,1,3,1,5,7,7,5,3,1,3,2,6,3,2,2,1,3,,0,2,1,5,1,2,5,3,5,2,3,1,4,1,2,0,2,1,3,1,2,0,4,5,4,1,2,2,2,1,2,4,1,1,2,4,6,0,1,1,4,4,4,0,1,2
加拿大_zh.wikipedia.org_all-access_spider,30,25,36,31,42,31,52,49,38,29,33,34,47,62,51,40,30,28,16,60,26,16,15,18,33,14,16,25,33,26,19,11,11,29,27,24,23,30,22,41,18,19,24,24,35,11,27,31,45,31,44,28,31,19,33,34,23,22,25,23,29,23,31,30,22,25,25,26,18,18,19,21,25,34,28,23,20,38,25,32,56,43,39,39,41,44,37,60,59,44,36,34,53,40,39,42,47,37,33,23,33,29,37,65,37,43,57,37,29,47,32,48,45,58,28,95,54,51,47,88,62,50,32,60,43,42,44,61,46,58,40,59,78,49,43,77,44,48,30,30,28,51,50,32,58,34,43,41,42,87,43,51,42,45,59,41,44,37,50,50,49,48,77,95,75,37,56,50,59,38,48,43,48,58,68,47,31,35,61,91,46,28,39,49,40,30,39,51,43,59,38,43,71,37,39,69,53,50,57,50,61,50,54,58,66,47,44,52,45,47,41,68,47,40,43,49,70,67,59,34,59,50,44,34,47,54,56,43,35,28,50,57,47,70,43,67,45,67,103,74,51,56,100,94,91,196,162,82,132,82,81,70,36,41
Wikipedia:上传_zh.wikipedia.org_all-access_spider,28,63,43,34,26,27,27,29,28,39,17,18,34,59,36,47,112,41,40,95,55,267,101,114,37,102,148,270,70,111,109,73,198,36,245,53,192,125,141,256,40,299,168,55,192,199,187,157,190,184,123,148,293,124,213,70,63,246,165,55,283,187,43,327,25,152,149,175,143,184,153,135,165,148,128,137,113,122,66,144,145,140,147,168,145,131,61,181,177,180,155,149,136,117,179,131,47,135,134,98,203,156,65,125,255,164,209,130,110,130,190,139,110,157,141,183,85,72,150,142,104,234,127,130,135,116,78,100,85,112,77,107,183,138,88,114,144,114,82,103,86,123,100,72,112,154,66,127,126,159,137,54,105,134,173,110,106,65,100,62,50,39,78,105,188,313,317,145,176,130,107,85,120,115,113,126,96,104,150,116,64,56,70,354,199,157,98,162,138,143,171,168,146,99,91,89,87,74,92,118,76,69,81,110,91,67,142,126,54,80,146,227,160,44,74,47,73,117,122,82,51,36,41,61,87,133,157,73,61,25,49,101,73,44,46,35,68,88,181,161,214,214,285,409,171,179,272,292,245,208,202,242,145,119
楊洋_zh.wikipedia.org_all-access_spider,0,9,13,7,14,2,8,8,41,13,16,3,8,11,13,0,0,7,3,6,5,10,13,3,3,2,1,1,5,2,5,12,4,2,3,1,1,5,4,10,5,1,1,1,4,1,0,3,3,0,2,6,4,1,7,2,4,1,4,2,2,2,0,2,5,0,2,4,2,3,4,7,3,3,0,3,0,4,4,4,4,1,8,5,6,1,0,10,5,5,8,1,1,3,0,2,3,2,2,0,3,2,6,5,3,4,1,5,0,3,5,0,3,2,1,3,1,2,1,1,2,6,4,2,3,1,2,3,3,2,3,3,2,1,2,1,3,2,2,1,1,5,0,0,2,2,2,2,4,3,6,3,4,5,6,6,2,9,2,1,2,2,5,0,4,1,3,2,1,1,2,2,3,4,2,1,2,3,3,4,1,4,2,0,2,12,3,2,4,0,2,1,2,7,3,3,4,5,3,2,7,4,4,7,3,7,0,3,4,2,3,4,1,6,3,3,4,2,2,5,2,3,3,1,3,2,4,7,7,1,3,5,3,5,5,3,4,2,7,3,3,3,6,5,5,1,1,3,1,1,2,2,3,5
臺南市市長_zh.wikipedia.org_all-access_spider,1,2,3,3,4,2,3,6,12,11,2,2,4,1,8,4,4,8,6,11,3,9,15,3,4,0,2,3,4,4,2,1,3,3,3,7,6,2,4,14,5,1,2,6,2,5,3,3,7,3,2,4,3,4,2,8,6,4,6,5,4,6,4,5,2,4,6,1,5,8,1,2,3,6,2,1,5,4,6,9,4,4,9,6,4,7,4,4,8,4,5,8,4,4,5,8,3,2,6,6,4,4,6,3,3,6,7,6,6,2,5,3,10,5,6,4,5,1,0,7,4,4,1,4,3,6,5,5,3,4,6,4,23,66,4,4,2,4,4,2,4,6,7,4,3,8,2,1,7,6,7,4,4,3,3,3,6,9,2,5,4,7,5,6,14,9,2,3,7,4,11,5,4,9,5,4,3,14,2,3,7,6,6,11,1,4,5,1,4,4,10,5,3,8,7,6,7,8,3,18,4,10,10,10,7,24,5,6,7,6,8,11,4,8,10,7,7,8,4,3,580,9,12,9,28,33,6,15,10,9,17,12,10,5,5,16,5,9,7,8,5,6,20,10,11,8,9,12,10,11,9,5,7,6
張繼聰_zh.wikipedia.org_all-access_spider,40,7,8,25,16,49,12,32,47,28,22,12,15,5,19,14,3,5,14,30,17,9,6,7,3,10,4,7,6,2,5,155,5,15,5,6,5,2,9,17,4,6,26,2,3,2,7,8,6,7,2,3,5,14,4,12,41,19,28,10,8,2,25,131,43,20,69,6,9,6,9,2,6,14,3,6,5,16,15,14,19,50,7,92,28,22,40,10,10,13,15,4,7,9,12,7,5,4,6,11,21,4,15,5,8,6,5,7,3,7,5,17,4,5,4,8,15,3,7,8,6,2,11,9,4,11,5,12,3,5,4,3,13,5,3,10,63,1,10,4,5,15,67,34,13,7,4,16,6,10,16,8,8,9,4,7,7,4,2,15,5,6,10,12,10,18,4,32,15,11,10,5,8,5,6,16,23,20,14,26,10,18,21,11,22,34,20,24,7,17,19,10,12,10,9,33,29,12,11,13,16,6,39,15,10,17,8,12,23,11,18,15,18,34,16,8,12,12,10,12,12,46,30,9,32,8,13,11,10,8,25,9,11,15,8,10,14,5,12,36,32,7,11,29,9,10,12,17,23,10,28,8,7,13
2008年夏季奥林匹克运动会_zh.wikipedia.org_all-access_spider,36,21,32,29,6,3,17,43,20,12,15,9,11,17,24,9,28,15,15,39,11,11,13,8,12,13,5,13,21,9,9,4,5,14,10,5,10,11,24,8,11,8,7,4,11,16,7,18,16,8,9,5,12,8,15,9,8,21,8,16,9,15,15,11,18,9,13,18,12,11,6,10,4,9,4,10,22,7,10,23,13,13,17,13,9,7,13,10,22,15,10,14,11,11,23,10,10,17,16,10,12,16,7,16,9,10,8,7,8,8,16,8,7,18,11,18,9,16,17,14,3,11,13,13,21,11,15,13,11,12,7,8,12,24,16,22,14,25,10,4,8,16,16,9,16,13,9,13,14,21,12,8,11,12,96,12,17,11,12,21,6,18,16,11,28,18,13,33,19,13,7,11,14,13,14,18,7,13,16,12,16,7,11,23,16,12,8,65,13,24,13,15,9,13,17,25,10,13,15,19,8,29,11,15,22,15,13,18,20,21,20,15,15,12,23,10,14,9,8,12,14,9,10,9,10,15,10,14,12,10,6,19,15,13,8,8,12,16,30,32,31,27,40,30,36,25,23,34,34,32,32,47,32,23
不要戀愛要結婚_zh.wikipedia.org_all-access_spider,9,4,7,42,71,4,12,17,39,17,15,14,17,21,18,9,9,12,11,19,13,19,16,10,8,11,9,31,14,8,2,7,9,6,12,13,5,3,4,12,6,12,5,12,9,9,11,8,10,5,3,6,11,37,5,7,11,6,16,9,11,8,4,7,14,5,36,14,9,12,7,5,22,11,4,11,37,30,12,9,13,12,14,8,4,3,30,13,13,15,19,16,17,58,21,25,10,10,19,5,8,8,5,9,8,7,14,6,10,9,22,7,22,8,8,2,14,14,6,20,9,5,2,11,5,16,1,3,6,2,9,2,4,1,6,8,5,6,5,4,4,13,4,7,13,7,20,11,3,11,7,7,5,16,19,5,6,7,3,17,10,7,26,10,11,16,19,11,7,6,10,9,16,8,9,13,11,33,19,15,11,7,10,17,9,22,6,25,10,17,10,25,16,23,15,17,14,24,22,12,22,10,9,13,22,16,14,11,12,10,18,19,16,8,13,11,7,17,8,10,11,8,23,10,14,13,6,7,6,8,9,16,3,6,8,7,9,12,12,16,10,19,6,12,8,35,11,11,11,24,8,9,4,3
九家之書_zh.wikipedia.org_all-access_spider,3,5,13,13,16,4,15,17,9,10,24,5,3,12,5,7,8,12,3,18,5,10,24,2,12,4,9,6,11,6,6,2,9,5,4,6,5,2,8,4,5,6,3,10,2,3,8,10,1,6,2,6,3,3,8,2,2,6,5,7,10,3,5,9,4,10,6,5,12,5,7,1,7,11,3,4,4,5,5,8,3,5,5,11,8,6,4,4,6,3,7,7,3,6,16,6,7,6,8,4,7,6,3,5,2,9,7,3,5,6,10,14,4,5,4,8,6,8,5,5,8,3,9,7,4,3,5,4,12,3,5,2,3,8,3,4,3,10,5,7,3,5,5,7,12,5,10,3,8,11,9,6,6,11,8,6,14,8,7,9,8,8,10,4,12,3,7,8,4,8,5,8,6,4,5,11,3,5,6,9,6,4,8,8,7,5,7,5,8,3,7,9,8,8,7,19,10,8,12,11,10,7,8,10,98,10,9,13,9,10,7,9,11,7,5,10,5,8,9,5,9,13,4,6,8,10,5,9,10,6,6,5,13,5,6,7,13,12,7,4,7,5,11,9,9,8,9,9,11,7,15,34,14,5
